GPS_dist,GPS_height,DEM_dist,DEM_height
0,2.185,0,2.115700006
1.70015985,2.262,0.104660163,2.129400015
3.530098121,2.089,0.209320327,2.13380003
4.587339576,1.965,0.31398049,2.154599905
6.512391636,1.822,0.418640654,2.192399979
7.554420928,1.708,0.523300817,2.22059989
8.866415865,1.674,0.627960981,2.238800049
10.47121587,1.563,0.732621144,2.23119998
11.739694,1.571,0.837281308,2.23119998
12.89515524,1.499,0.941941471,2.254699945
14.61548195,1.521,1.046601635,2.258599997
15.77334322,1.629,1.151261798,2.234100103
17.61855777,1.658,1.255921962,2.23119998
19.04809473,1.754,1.360582125,2.218899965
20.82450537,1.971,1.465242289,2.203299999
22.11095519,2.218,1.569902452,2.197900057
23.50357019,2.365,1.674562616,2.193799973
24.65639541,2.617,1.779222779,2.184299946
25.78506881,2.938,1.883882943,2.182899952
27.2423522,2.847,1.988543106,2.159800053
28.54691957,3.1,2.09320327,2.14350009
30.03368415,3.306,2.197863433,2.142999887
31.62627516,3.535,2.302523597,2.174400091
32.86489518,3.426,2.40718376,2.203299999
34.15328211,3.317,2.511843924,2.147599936
35.28888224,2.866,2.616504087,2.113100052
36.52711557,2.664,2.721164251,2.109400034
37.54092819,2.38,2.825824414,2.076100111
38.60367755,2.108,2.930484578,2.064199924
39.75738714,2.099,3.035144741,2.054699898
40.74942989,1.789,3.139804905,2.048899889
41.99252668,1.615,3.244465068,2.027899981
43.60532028,1.563,3.349125231,2.01699996
44.79444307,1.472,3.453785395,2.016900063
46.24658627,1.329,3.558445558,2.006900072
47.81673418,1.256,3.663105722,1.987200022
49.25766657,1.165,3.767765885,1.966099977
50.92321061,1.062,3.872426049,1.952600002
52.50645267,0.939,3.977086212,1.947600007
54.26748447,0.766,4.081746376,1.940000057
55.8604638,0.637,4.186406539,1.943099976
57.39842094,0.572,4.291066703,1.932899952
59.16406779,0.571,4.395726866,1.927899957
60.61768093,0.579,4.50038703,1.925099969
62.18925554,0.564,4.605047193,1.900500059
63.75858684,0.6,4.709707357,1.899299979
65.11789366,0.621,4.81436752,1.892199993
66.48137278,0.62,4.919027684,1.889500022
67.5084726,0.555,5.023687847,1.872900009
,,5.129193986,1.859599948
,,5.234700125,1.850000024
,,5.340206264,1.841400027
,,5.445712403,1.827900052
,,5.551218542,1.817700028
,,5.65672468,1.810500026
