GPS_dist,GPS_height,DEM_dist,DEM_height
0,1.223,0,1.127699971
1.931517201,1.446,0.10799577,1.089900017
3.582884626,1.69,0.215991539,1.064900041
4.629878874,1.852,0.323987309,1.082399964
6.397861283,2.083,0.431983078,1.101199985
8.21136766,2.084,0.539978848,1.085299969
10.04871577,2.123,0.647974618,1.087499976
12.02765651,2.108,0.755970387,1.093999982
13.41562755,1.986,0.863966157,1.106585979
15.15948612,1.862,0.971961927,1.11569643
16.22082086,1.811,1.079957696,1.125213742
17.33327527,1.9,1.187953466,1.135074377
18.3760443,1.963,1.295949235,1.144322395
19.38003702,2.106,1.403945005,1.154263973
21.10836175,2.474,1.511940775,1.167000055
22.19687608,2.934,1.619936544,1.168400049
23.72674335,3.645,1.727932314,1.19599998
25.15553707,3.568,1.835928083,1.19599998
26.33970507,3.113,1.943923853,1.210399985
28.1380198,2.964,2.051919623,1.226999998
29.15859482,2.935,2.159915392,1.24000001
31.17666569,2.674,2.267911162,1.242699981
32.42137471,2.443,2.375906932,1.25849998
34.09628041,2.349,2.483902701,1.290699959
35.03388985,2.055,2.591898471,1.310700059
36.57467185,1.733,2.69989424,1.32249999
37.91141011,1.543,2.80789001,1.337800026
39.11384079,1.609,2.91588578,1.350800037
40.45548607,1.494,3.023881549,1.38409996
41.63083046,1.366,3.131877319,1.390200019
42.82360409,1.171,3.239873089,1.415799975
43.95934074,1.166,3.347868858,1.442899942
45.54584921,1.039,3.455864628,1.458899975
47.33211261,0.914,3.563860397,1.470399976
48.33711067,0.895,3.671856167,1.532699943
49.42381384,0.782,3.777362306,1.543400049
51.44422913,0.698,3.882868445,1.561200023
52.62814249,0.636,3.988374584,1.571699977
53.717925,0.607,4.093880722,1.586500049
54.72102075,0.633,4.199386861,1.601999998
55.91875694,0.595,4.304893,1.620000005
57.93300602,0.502,4.410399139,1.628700018
59.32634839,0.373,4.515905278,1.667999983
60.79755931,0.299,4.621411417,1.715899944
,,4.726917556,1.728299975
,,4.832423694,1.728600025
,,4.937929833,1.750800014
,,5.043435972,1.802600026
,,5.148942111,1.816100001
,,5.25444825,1.83220005
,,5.359954389,1.854400039
,,5.465460528,1.85800004
,,5.570966666,1.878399968
,,5.676472805,1.887300014
,,5.781978944,1.895599961
,,5.889373161,1.904999971
,,5.996767378,1.914399981
,,6.104161595,1.896100044
,,6.211555811,1.920400023
,,6.318950028,1.953699946
,,6.426344245,1.951799989
,,6.533738462,1.969799995
,,6.641132679,1.978999972
,,6.748526896,1.989899993
,,6.855921112,2.001699924
,,6.963315329,1.999500036
,,7.070709546,2.016000032
,,7.178103763,2.019500017
,,7.28549798,2.031500101
,,7.392892197,2.021600008
,,7.500286413,2.021600008
,,7.60768063,2.022500038
,,7.715074847,2.0473001
,,7.822469064,2.049099922
,,7.929863281,2.04399991
,,8.037257498,2.042399883
,,8.144651714,2.05369997
,,8.252045931,2.04399991
,,8.359440148,2.030299902
,,8.471053156,2.021600008
,,8.582666163,2.023499966
,,8.694279171,2.0072999
,,8.805892179,2.00270009
,,8.917505186,1.993899941
,,9.029118194,1.991799951
,,9.140731202,1.994099975
,,9.252344209,2.0072999
,,9.363957217,1.997699976
,,9.475570225,1.999199986
,,9.587183232,2.021399975
,,9.69879624,2.021699905
,,9.810409247,2.02609992
,,9.922022255,2.032000065
,,10.03363526,2.035099983
,,10.14524827,2.035000086
,,10.25686128,2.052700043
,,10.36847429,2.052299976
,,10.48008729,2.075700045
,,10.5917003,2.090899944
,,10.70331331,2.071099997
,,10.81492632,2.07220006
,,10.92653932,2.070499897
,,11.03815233,2.06520009
,,11.14976534,2.066600084
,,11.26137835,2.092400074
,,11.37299135,2.08739996
,,11.48460436,2.08220005
,,11.59621737,2.075999975
,,11.70783038,2.078299999
,,11.81944339,2.074700117
,,11.93105639,2.076100111
,,12.0426694,2.072299957
,,12.15428241,2.072799921
,,12.26589542,2.08130002
,,12.37750842,2.060300112
,,12.48912143,2.053800106
,,12.60073444,2.055500031
,,12.73884715,2.062900066
,,12.87695986,2.043600082
,,13.01507258,2.036499977
,,13.15318529,2.039299965
,,13.291298,2.02579999
,,13.42941072,2.000999928
,,13.56752343,1.987699986
,,13.70563614,1.966400027
,,13.84374886,1.95630002
,,13.98186157,1.948699951
,,14.11997428,1.941400051
,,14.25808699,1.91779995
,,14.39619971,1.889600039
,,14.49930488,1.888399959
,,14.60241006,1.87530005
,,14.70551523,1.864799976
,,14.8086204,1.864400029
,,14.91172558,1.852100015
,,15.01483075,1.841400027
,,15.11793593,1.838600039
,,15.2210411,1.823099971
,,15.32414627,1.817800045
,,15.42725145,1.8125
,,15.53035662,1.807100058
,,15.6334618,1.79279995
,,15.73656697,1.784700036
,,15.83967214,1.784199953
,,15.94277732,1.772899985
,,16.04588249,1.760100007
,,16.14898767,1.747200012
,,16.25209284,1.74000001
,,16.35519801,1.738600016
,,16.45830319,1.738299966
,,16.56140836,1.741799951
,,16.66451354,1.739199996
,,16.76761871,1.741099954
,,16.87072388,1.753499985
,,16.97382906,1.745000005
,,17.07693423,1.744899988
,,17.18003941,1.765400052
,,17.28314458,1.765499949
,,17.38624975,1.775599957
,,17.48935493,1.79489994
,,17.5924601,1.797600031
,,17.69556528,1.806699991
,,17.79867045,1.810299993
,,17.91019575,1.829699993
,,18.02172104,1.847100019
,,18.13324634,1.863499999
,,18.24477164,1.871299982
,,18.35629694,1.877799988
,,18.46782223,1.877500057
,,18.57934753,1.87559998
,,18.69087283,1.888100028
,,18.80239813,1.911499977
,,18.91392342,1.919499993
,,19.02544872,1.92719996
,,19.13697402,1.934599996
,,19.24849932,1.945199966
,,19.36002461,1.965399981
,,19.47154991,1.976099968
,,19.58307521,1.986799955
,,19.69460051,2.001399994
,,19.8061258,2.012900114
,,19.9176511,2.029099941
,,20.0291764,2.040899992
,,20.1407017,2.055799961
,,20.25222699,2.075900078
,,20.35847073,2.083600044
,,20.46471446,2.135299921
,,20.5709582,2.155200005
,,20.67720193,2.161499977
,,20.78344567,2.185899973
,,20.8896894,2.25999999
,,20.99593313,2.26789999
,,21.10217687,2.282900095
,,21.2084206,2.3204
,,21.31466434,2.347199917
,,21.42090807,2.385400057
,,21.52715181,2.427000046
,,21.63339554,2.480600119
,,21.73963928,2.535700083
,,21.84588301,2.577800035
,,21.95212674,2.640799999
,,22.05837048,2.712899923
,,22.16461421,2.76060009
,,22.27085795,2.812400103
,,22.37710168,2.853100061
,,22.48334542,2.901000023
,,22.58958915,2.957600117
,,22.69583289,2.995500088
,,22.80207662,3.073199987
,,22.90832035,3.123699903
,,23.01456409,3.163500071
,,23.12080782,3.205300093
,,23.22705156,3.280600071
,,23.33329529,3.316099882
,,23.43659856,3.352600098
,,23.53990182,3.394799948
,,23.64320508,3.433700085
,,23.74650834,3.464799881
,,23.84981161,3.498899937
,,23.95311487,3.52670002
,,24.05641813,3.543400049
,,24.1597214,3.575400114
,,24.26302466,3.591700077
,,24.36632792,3.602099895
,,24.46963118,3.612600088
,,24.57293445,3.625499964
,,24.67623771,3.626699924
,,24.77954097,3.624900103
,,24.88284424,3.619499922
,,24.9861475,3.618099928
,,25.08945076,3.616600037
,,25.19275402,3.614900112
,,25.29605729,3.608400106
,,25.39936055,3.593600035
,,25.50266381,3.585900068
,,25.60596708,3.578500032
,,25.72540975,3.568799973
,,25.84485242,3.547699928
,,25.96429509,3.537199974
,,26.08373777,3.519000053
,,26.20318044,3.493999958
,,26.32262311,3.471699953
,,26.44206578,3.436800003
,,26.56150845,3.406599998
,,26.68095113,3.369699955
,,26.8003938,3.330800056
,,26.91983647,3.281699896
,,27.03927914,3.24119997
,,27.15872182,3.190599918
,,27.27816449,3.122999907
,,27.38023861,3.10010004
,,27.48231273,3.077300072
,,27.58438686,3.064199924
,,27.68646098,3.059099913
,,27.7885351,3.059700012
