GPS_dist,GPS_height,DEM_dist,DEM_height
,,17.88160077,1.851899981
,,17.98615393,1.864199996
,,18.09070709,1.876899958
,,18.19526024,1.90170002
,,18.2998134,1.915899992
,,18.40436656,1.934299946
,,18.50891972,1.939100027
,,18.61347288,1.960000038
,,18.71802604,1.988299966
,,18.8225792,2.00270009
,,18.92713236,2.029599905
,,19.03168551,2.061700106
,,19.13623867,2.113500118
,,19.24079183,2.129800081
,,19.34534499,2.177900076
,,19.44989815,2.222199917
,,19.55445131,2.244400024
,,19.65900447,2.292700052
,,19.76355763,2.317300081
,,19.86811078,2.361200094
,,19.97266394,2.393399954
,,20.0772171,2.449899912
,,20.18177026,2.501499891
,,20.28632342,2.532900095
,,20.39087658,2.562400103
,,20.49542974,2.571000099
,,20.59998289,2.612200022
,,20.70453605,2.625099897
,,20.80908921,2.652199984
,,20.91364237,2.678100109
,,21.01819553,2.693099976
,,21.12274869,2.70720005
,,21.22730185,2.738300085
,,21.33185501,2.758500099
,,21.43640816,2.780800104
,,21.54096132,2.799599886
,,21.64551448,2.81159997
,,21.75006764,2.826499939
,,21.8546208,2.852900028
,,21.95917396,2.885699987
,,22.06372712,2.913700104
,,22.16828028,2.945899963
,,22.27283343,2.982500076
,,22.37738659,3.032500029
,,22.48193975,3.068099976
,,22.58649291,3.079600096
,,22.69104607,3.08220005
,,22.79559923,3.082900047
,,22.90015239,3.085299969
,,23.00470554,3.084700108
,,23.1092587,3.0704
,,23.21381186,3.064599991
,,23.31836502,3.062000036
,,23.42291818,3.067800045
,,23.52747134,3.072700024
,,23.6320245,3.087800026
,,23.73657766,3.105999947
,,23.84113081,3.11529994
,,23.94568397,3.110399961
,,24.05023713,3.104300022
,,24.15479029,3.109200001
,,24.25934345,3.121200085
,,24.36389661,3.124200106
,,24.46844977,3.125099897
,,24.57300293,3.13499999
,,24.67755608,3.137300014
,,24.78210924,3.132100105
,,24.8866624,3.155999899
,,24.99121556,3.174700022
,,25.09576872,3.216300011
,,25.20032188,3.224600077
,,25.30487504,3.23119998
,,25.40942819,3.230700016
,,25.51398135,3.241100073
,,25.61853451,3.257699966
,,25.72308767,3.259500027
,,25.82764083,3.254300117
,,25.93219399,3.247200012
,,26.03674715,3.260400057
,,26.14130031,3.25270009
,,26.24585346,3.25270009
,,26.35040662,3.274199963
,,26.45495978,3.270100117
,,26.55951294,3.271100044
,,26.6640661,3.268399954
,,26.76861926,3.294699907
,,26.87317242,3.286299944
,,26.97772557,3.288100004
,,27.08227873,3.314699888
,,27.18683189,3.327399969
,,27.29138505,3.333800077
,,27.39593821,3.34829998
,,27.50049137,3.394900084
,,27.60504453,3.417200089
,,27.70959769,3.433300018
,,27.81415084,3.486099958
,,27.918704,3.494600058
,,28.02325716,3.503000021
,,28.12941044,3.512099981
,,28.23556371,3.52060008
,,28.34171698,3.517699957
,,28.44787026,3.49819994
,,28.55402353,3.452199936
,,28.6601768,3.377799988
,,28.76633008,3.289700031
,,28.87248335,3.226099968
,,28.97863663,3.203099966
,,29.0847899,3.162400007
,,29.19094317,3.106600046
,,29.29709645,3.073699951
,,29.40324972,3.040899992
,,29.50940299,2.983200073
,,29.61555627,2.952500105
,,29.72170954,2.931200027
,,29.82786281,2.905200005
,,29.93401609,2.875999928
,,30.04016936,2.855099916
,,30.14632264,2.817399979
,,30.25247591,2.786799908
,,30.35862918,2.737999916
,,30.46478246,2.70810008
,,30.57093573,2.683500051
,,30.677089,2.64989996
,,30.78324228,2.631999969
,,30.88939555,2.631400108
,,30.99554883,2.628099918
,,31.1017021,2.623800039
,,31.20785537,2.574899912
,,31.31400865,2.570600033
,,31.42016192,2.551500082
,,31.52631519,2.54369998
,,31.63380812,2.530499935
,,31.74130104,2.523299932
,,31.84879396,2.486799955
,,31.95628688,2.470099926
,,32.0637798,2.455899954
,,32.17127272,2.418499947
,,32.27876564,2.385900021
,,32.38625856,2.352999926
,,32.49375148,2.342799902
,,32.6012444,2.309999943
,,32.70873732,2.281100035
,,32.81623025,2.264199972
,,32.92372317,2.262500048
,,33.03121609,2.331149578
,,33.13870901,2.304399967
,,33.24620193,2.180099964
,,33.35369485,2.061700106
,,33.46118777,2.039599895
,,33.56868069,2.015799999
,,33.67617361,2.005899906
,,33.78366653,1.982900023
,,33.89115946,1.969799995
,,33.99585086,1.94749999
,,34.10054227,1.92840004
,,34.20523368,1.895599961
,,34.30992508,1.884199977
,,34.41461649,1.842399955
,,34.5193079,1.817299962
,,34.62399931,1.796300054
,,34.72869071,1.740399957
,,34.83338212,1.725600004
,,34.93807353,1.70480001
,,35.04276494,1.689700007
,,35.14745634,1.672600031
,,35.25214775,1.651499987
,,35.35683916,1.62650001
,,35.46153057,1.596500039
,,35.56622197,1.581500053
,,35.67091338,1.564399958
,,35.77560479,1.549399972
,,35.8802962,1.527899981
,,35.9849876,1.513900042
,,36.08967901,1.511700034
,,36.19437042,1.515599966
,,36.29906183,1.508700013
,,36.40375323,1.504400015
,,36.50844464,1.484899998
,,36.61313605,1.466699958
,,36.72846001,1.453500032
,,36.84378397,1.439800024
,,36.95910793,1.437600017
,,37.07443189,1.42750001
,,37.18975585,1.41929996
,,37.30507981,1.408400059
,,37.42040377,1.396199942
,,37.53572772,1.394000053
,,37.65105168,1.392500043
,,37.76637564,1.39989996
,,37.8816996,1.398699999
,,37.99702356,1.395799994
,,38.11234752,1.391100049
,,38.22767148,1.389000058
,,38.34299544,1.387199998
,,38.4583194,1.386500001
,,38.57364336,1.383599997
,,38.68896732,1.386399984
,,38.80429128,1.386199951
,,38.91961524,1.393399954
,,39.0349392,1.387199998
,,39.15026316,1.387799978
,,39.26558712,1.377200007
,,39.38091108,1.386199951
,,39.49623504,1.37440002
,,39.611559,1.386000037
,,39.72688296,1.378999949
,,39.84220692,1.384500027
,,39.95753088,1.384500027
,,40.07094657,1.386500001
,,40.18436226,1.386000037
,,40.29777795,1.390200019
,,40.41119364,1.379799962
,,40.52460933,1.378900051
,,40.63802502,1.367599964
,,40.75144071,1.366099954
,,40.86485641,1.368899941
,,40.9782721,1.377200007
,,41.09168779,1.35860002
,,41.20510348,1.347499967
,,41.31851917,1.333099961
,,41.43193486,1.332599998
,,41.54535055,1.311400056
,,41.65876625,1.308200002
,,41.77218194,1.30340004
,,41.88559763,1.296300054
,,41.99901332,1.28579998
,,42.11242901,1.278499961
,,42.2258447,1.269999981
,,42.33926039,1.261700034
,,42.45267609,1.254500031
,,42.56609178,1.247400045
,,42.67950747,1.235399961
,,42.79292316,1.233899951
,,42.90633885,1.221699953
,,43.01975454,1.213500023
,,43.13317023,1.205000043
,,43.24658593,1.197700024
,,43.36000162,1.186100006
,,43.47056807,1.183899999
,,43.58113452,1.175099969
,,43.69170097,1.161299944
,,43.80226741,1.155799985
,,43.91283386,1.1602
,,44.02340031,1.149000049
,,44.13396676,1.118299961
,,44.24453321,1.121500015
,,44.35509966,1.131899953
,,44.46566611,1.128299952
,,44.57623256,1.122200012
,,44.68679901,1.113100052
,,44.79736546,1.099300027
,,44.90793191,1.109200001
,,45.01849836,1.082900047
,,45.12906481,1.087000012
,,45.23963126,1.053900003
,,45.35019771,1.064499974
,,45.46076416,1.064599991
,,45.5713306,1.052600026
,,45.68189705,1.032999992
,,45.7924635,1.002599955
,,45.90302995,1.030400038
,,46.0135964,1.031800032
,,46.12416285,1.025400043
,,46.2347293,1.014000058
,,46.33680342,1.009799957
,,46.43887755,0.998899996
,,46.54095167,0.990999997
,,46.64302579,0.990700006
,,46.74509991,0.980199993
,,46.84717403,0.980000019
,,46.94924816,0.989199996
,,47.05132228,0.973800004
,,47.1533964,0.965799987
,,47.25547052,0.946099997
,,47.35754465,0.950800002
,,47.45961877,0.916299999
,,47.56169289,0.930700004
,,47.66376701,0.932099998
,,47.76584113,0.923200011
,,47.86791526,0.921000004
,,47.96998938,0.910000026
,,48.0720635,0.917699993
,,48.17413762,0.907000005
,,48.27621175,0.899200022
,,48.38076565,0.879999995
,,48.48531956,0.882399976
,,48.58987346,0.863499999
,,48.69442737,0.863499999
,,48.79898127,0.848699987
,,48.90353518,0.84859997
,,49.00808908,0.851800025
,,49.11264299,0.842100024
,,49.21719689,0.830500007
,,49.32175079,0.828199983
,,49.4263047,0.825299978
,,49.5308586,0.819700003
,,49.63541251,0.81400001
,,49.73996641,0.798600018
,,49.84452032,0.795700014
,,49.94907422,0.791999996
,,50.05362813,0.787400007
,,50.15818203,0.784500003
,,50.26273594,0.776000023
,,50.36728984,0.772300005
,,50.47184375,0.769999981
,,50.57639765,0.768899977
,,50.68095156,0.764400005
,,50.78550546,0.759299994
,,50.89005937,0.755500019
,,50.99461327,0.747200012
,,51.09916718,0.743799984
,,51.20372108,0.743700027
,,51.30827499,0.720200002
,,51.41282889,0.720000029
,,51.5173828,0.739499986
,,51.6219367,0.739499986
,,51.72649061,0.738799989
,,51.83104451,0.736800015
,,51.93559842,0.729499996
,,52.04015232,0.721800029
,,52.14470623,0.719200015
,,52.24926013,0.717599988
,,52.35381404,0.726599991
,,52.45836794,0.722199976
,,52.56292185,0.722000003
,,52.66747575,0.717199981
,,52.77202966,0.71420002
,,52.87658356,0.717400014
,,52.98113747,0.716899991
,,53.08569137,0.719500005
,,53.19024528,0.717199981
,,53.29479918,0.720899999
,,53.39935309,0.715900004
,,53.50390699,0.709699988
,,53.6084609,0.708199978
,,53.7130148,0.707599998
,,53.81756871,0.708299994
,,53.92212261,0.706099987
,,54.02667652,0.699899971
,,54.13123042,0.699500024
,,54.23578432,0.692499995
,,54.34033823,0.689800024
,,54.44489213,0.68809998
,,54.54944604,0.672900021
,,54.65399994,0.668200016
,,54.75855385,0.667999983
,,54.86310775,0.648000002
,,54.96766166,0.646899998
,,55.07221556,0.63410002
,,55.17676947,0.626800001
,,55.28132337,0.621399999
,,55.38587728,0.607900023
,,55.49043118,0.601899981
,,55.59498509,0.586899996
